locNum	locType	locName	locStartText	sublocNum	sublocName	sublocStartText	itemNum	itemName	itemStartText	response	responseTime	outcome	itemEndText	locEndText
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	1	hummingbird.jpg	You hear a distinctive sound and notice a beautiful hummingbird.	1	6.885958699975163	1	The hummingbird is not afraid, and lands in your hand. You feel uplifted.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	2	penguin.jpg	You hear waddling behind you. You see a penguin slowly approaching you.	1	8.964780499925837	2	The penguin is hostile and honks until you leave.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	3	giraffe.jpg	Oddly, a giraffe turns its head towards you.	1	8.234946199925616	1	The giraffe is special and you feel calm just being near it.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	4	cow.jpg	A mooing sound grabs your attention. A cow!	2	4.803898100042716	2	The cow was friendly and would have shared its milk.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	5	cucumber.jpg	You notice a large cucumber.	2	5.074781599920243	1	It wasn't a cucumber after all, but a deadly snake. You feel relieved.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	1	lighthousegarden	Outside of the lighthouse is a large garden. It's a pleasant day and you decide to look around.	6	tractor.jpg	There's an old-looking tractor that might be worth checking.	1	12.95409379992634	2	The door sticks a bit and you hurt your hand pulling it open.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	1	compasses.jpg	You notice a very old and interesting looking compass.	1	6.675239100120962	2	The compass pokes you on your finger. You notice that it's rusty and begin to worry about infection.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	2	pot.jpg	An pot has been left out. It's covered with a lid.	2	3.336559100076556	2	There was a small bird inside. You could have saved it and felt like a hero.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	3	cookie.jpg	Someone has left a freshly baked cookie out. You feel your stomach growl.	2	3.466372600058094	1	It was overcooked and barely edible - more like a hockey puck than food. You would have felt disappointed.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
1	1	lighthouse	It is somewhat dark out, and you notice a bright light high up on a cliff. It's a lighthouse, and you decide to investigate....	2	lighthouseinterior	Inside the lighthouse it is dark and quiet. It seems abandoned. Or is it?	4	dartboard.jpg	A dartboard catches your attention.	1	6.220318099949509	2	You completely miss the dartboard with your wild toss. You feel sad.	Leaving the lighthouse, you look back and wonder where the occupants may have gone to. Your journey continues.
